region	signal	gene
BCAC_FM_101	signal1	EFNA1
BCAC_FM_101	signal1	FAM189B
BCAC_FM_101	signal1	GBA
BCAC_FM_101	signal1	MTX1
BCAC_FM_101	signal1	MUC1
BCAC_FM_101	signal1	RP11-263K19.4
BCAC_FM_101	signal1	SLC50A1
BCAC_FM_101	signal1	THBS3
BCAC_FM_101	signal1	TRIM46
BCAC_FM_102	signal1	TNNI1
BCAC_FM_103	signal1	SOX13
BCAC_FM_103	signal1	ZC3H11A
BCAC_FM_109	signal1	CMSS1
BCAC_FM_109	signal1	FILIP1L
BCAC_FM_109	signal1	TBC1D23
BCAC_FM_10	signal1	ADCY3
BCAC_FM_10	signal1	DNMT3A
BCAC_FM_110	signal1	ZBTB38
BCAC_FM_111	CIMBA	TNFSF10
BCAC_FM_112	signal1	TLR1
BCAC_FM_116	signal1	ARRDC3
BCAC_FM_118	signal1	AFF4
BCAC_FM_118	signal1	HSPA4
BCAC_FM_118	signal1	ZCCHC10
BCAC_FM_119	signal1	FOXI1
BCAC_FM_11	signal3	INHBB
BCAC_FM_11	signal4	INHBB
BCAC_FM_121	signal1	CDKAL1
BCAC_FM_124	signal1	L3MBTL3
BCAC_FM_129	signal1	GRHL2
BCAC_FM_129	signal1	KB-1562D12.1
BCAC_FM_129	signal1	KB-1930G5.4
BCAC_FM_12	signal2	DYNC1I2
BCAC_FM_131	signal1	ATAD2
BCAC_FM_131	signal1	FBXO32
BCAC_FM_131	signal2	FBXO32
BCAC_FM_135	signal1	GATA3
BCAC_FM_138	signal1	MSI1
BCAC_FM_138	signal1	RPLP0
BCAC_FM_140	signal1	RCCD1
BCAC_FM_146	signal1	CACNA1A
BCAC_FM_146	signal1	DAND5
BCAC_FM_146	signal1	GCDH
BCAC_FM_146	signal1	HOOK2
BCAC_FM_146	signal1	JUNB
BCAC_FM_146	signal1	MAST1
BCAC_FM_146	signal1	PRDX2
BCAC_FM_148	signal1	MAFF
BCAC_FM_148	signal1	PLA2G6
BCAC_FM_148	signal1	TMEM184B
BCAC_FM_148	signal3	CBX6
